library,N,CEIL_searchable_pct,attributable_corpus_pct,attributable_15lib_ref_pct
base64,7,0.0,0.0,0.0
mpack,366,6.8,1.6,1.1
parson,120,9.2,5.8,5.8
cJSON,90,10.0,7.8,7.8
tinyexpr,27,11.1,3.7,0.0
cwalk,33,12.1,9.1,9.1
tomlc99,57,12.3,5.3,7.0
heatshrink,16,12.5,0.0,0.0
inih,7,14.3,0.0,0.0
microtar,19,15.8,0.0,0.0
sha2,5,20.0,20.0,20.0
sds,50,22.0,20.0,20.0
logc,8,25.0,25.0,25.0
yyjson,68,25.0,19.1,20.6
lua,408,31.9,22.8,25.2
mongoose,265,33.2,24.5,26.4
picohttpparser,9,33.3,11.1,0.0
tinyregex,8,37.5,0.0,0.0
stb,113,38.1,23.9,11.5
miniz,141,39.7,28.4,14.9
monocypher,82,41.5,32.9,1.2
lz4,162,49.4,31.5,31.5
jsmn,2,50.0,50.0,0.0
md4c,60,50.0,36.7,38.3
xxHash,61,52.5,52.5,52.5
http_parser,17,52.9,52.9,52.9
zlib,130,58.5,22.3,28.5
utf8proc,33,60.6,48.5,48.5
klib,177,61.6,22.6,28.2
qrcodegen,25,84.0,80.0,32.0
